task_title,task_description,priority
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.0
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.03
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.01
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.07
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.14
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.05
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.19
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.1
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.04
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.13
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.05
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.12
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Обновление README,Уточнить инструкции по запуску проекта.,0.04
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.09
Обновление внутренней документации,Обновить описание API в Confluence.,0.05
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.12
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.16
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.2
Обновление внутренней документации,Обновить описание API в Confluence.,0.14
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.07
Обновление внутренней документации,Обновить описание API в Confluence.,0.0
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.1
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.05
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.02
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Обновление README,Уточнить инструкции по запуску проекта.,0.11
Обновление README,Уточнить инструкции по запуску проекта.,0.14
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Обновление README,Уточнить инструкции по запуску проекта.,0.13
Обновление внутренней документации,Обновить описание API в Confluence.,0.06
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.08
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.02
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.1
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.02
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Обновление README,Уточнить инструкции по запуску проекта.,0.03
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.03
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Обновление README,Уточнить инструкции по запуску проекта.,0.05
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.01
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.15
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.06
Обновление README,Уточнить инструкции по запуску проекта.,0.04
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.02
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.1
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Обновление внутренней документации,Обновить описание API в Confluence.,0.05
Обновление README,Уточнить инструкции по запуску проекта.,0.0
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.11
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.06
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.19
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Обновление README,Уточнить инструкции по запуску проекта.,0.01
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.04
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.04
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.2
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.18
Обновление README,Уточнить инструкции по запуску проекта.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.1
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.02
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.16
Обновление README,Уточнить инструкции по запуску проекта.,0.2
Обновление README,Уточнить инструкции по запуску проекта.,0.05
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.01
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.02
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.18
Обновление внутренней документации,Обновить описание API в Confluence.,0.08
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.16
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.19
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.13
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.1
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Обновление README,Уточнить инструкции по запуску проекта.,0.1
Обновление README,Уточнить инструкции по запуску проекта.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.15
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Обновление README,Уточнить инструкции по запуску проекта.,0.12
Обновление README,Уточнить инструкции по запуску проекта.,0.02
Обновление внутренней документации,Обновить описание API в Confluence.,0.14
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.05
Обновление внутренней документации,Обновить описание API в Confluence.,0.17
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Обновление README,Уточнить инструкции по запуску проекта.,0.19
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Обновление внутренней документации,Обновить описание API в Confluence.,0.1
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.05
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.17
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.17
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.01
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.04
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.05
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.05
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.08
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.04
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.16
Обновление внутренней документации,Обновить описание API в Confluence.,0.04
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.08
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.11
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.19
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.04
Обновление README,Уточнить инструкции по запуску проекта.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.13
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.02
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.19
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.07
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Обновление README,Уточнить инструкции по запуску проекта.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.02
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.18
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.15
Обновление внутренней документации,Обновить описание API в Confluence.,0.06
Обновление README,Уточнить инструкции по запуску проекта.,0.08
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.28
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.26
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.24
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.27
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.32
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.26
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.26
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.26
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.25
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.27
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.32
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.33
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.35
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.3
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.28
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.3
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.27
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.31
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.26
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.21
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.28
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.23
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.29
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.34
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.25
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.34
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.27
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.32
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.35
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.3
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.32
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.3
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.21
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.34
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.32
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.27
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.32
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.3
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.34
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.3
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.24
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.29
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.31
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.32
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.35
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.33
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.31
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.34
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.35
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.35
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.33
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.3
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.35
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.3
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.3
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.25
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.29
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.26
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.33
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
